Nom,Prénoms,Date_de_naissance,Ville_de_naissance,Département_de_naissance,Pays,Régiment,Grade,Date_du_décès,Département_de_décès,Lieu_du_décès,Pays_de_décès,nomDptDécès
JACAR,René,1895-11-27,Toulouse,31,France,8e Génie,Sapeur,07/02/1917,60,Laberlière,France,Oise 
JACOBY,Georges Auguste Henri Célestin,1876-09-24,Auby,59,France,342e Infanterie,Capitaine,19/03/1915,51,Minaucourt-Le-Mesnil-les-Hurlus,France,Marne 
JAFFRE,Jean,1879-10-21,Ondes,31,France,57e Artillerie,2e Canonnier,27/03/1916,31,Toulouse,France,Haute-Garonne 
JAFFRE,Antoine,1877-09-27,Ondes,31,France,207e Infanterie,Soldat,20/04/1917,51,Prosnes,France,Marne 
JALABERT,François Joseph Isidore,1893-02-20,Revel,31,France,83e Infanterie,Soldat,09/01/1915,51,Souain-Perthes-les Hurlus,France,Marne 
JALABERT,Arnaud,1886-06-20,Toulouse,31,France,281e Infanterie,Soldat,25/10/1914,62,Vermelles,France,Pas-de-Calais 
JAMMAYRAC,Paul Bernard,1894-05-29,Toulouse,31,France,30e Artillerie,Maréchal des Logis,24/09/1915,51,Saint-Thomas-en Argonne,France,Marne 
JAMMES,Jules,1891-07-27,La Digne-d'Amont,11,France,81e Infanterie,Soldat,03/09/1914,54,Bayon,France,Meurthe-et-Moselle 
JAMMES,Pierre Paul,1890-06-29,Salles-sur-l'Hers,11,France,143e Infanterie,Soldat,18/08/1916,55,Vaux-devant-Damloup,France,Meuse 
JAMOT,Louis,1882-12-11,Toulouse,31,France,160e Infanterie,Soldat,08/07/1916,80,Hardecourt-aux-Bois,France,Somme 
JANNY,Antonin,1893-10-21,Toulouse,31,France,84e Coloniale,Sergent,24/11/1918,,Zaje?ar,Serbia,
JANY,Simon,1878-03-21,Venerque,31,France,11e Infanterie,Soldat,14/05/1915,62,Roclincourt,France,Pas-de-Calais 
JAU,Henri Louis,1891-03-21,Toulouse,31,France,6e Chasseurs d'Afrique,Brigadier,12/06/1918,2,Coeuvres-et-Valsery,France,Aisne 
JAU,Jean Henry,1891-09-01,Toulouse,31,France,59e Infanterie,Sergent major,17/02/1915,51,Souain-Perthes-les Hurlus,France,Marne 
JAUBERT,Philippe,1880-05-05,Toulouse,31,France,96e Infanterie,Soldat,10/01/1915,,Ypres,Belgium,
JAUSSELY,Léon Élie,1891-05-12,Toulouse,31,France,59e Infanterie,Caporal fourrier,24/04/1917,51,Pontfaverger-Moronvilliers,France,Marne 
JEAN,Joseph,1890-11-25,Bourg-Saint-Bernard,31,France,9e Infanterie,Caporal,22/07/1918,2,Breny,France,Aisne 
JEAN,Paul Antoine,1893-03-04,Toulouse,31,France,88e Infanterie,Soldat,28/08/1914,8,Sedan,France,Ardennes 
JEAN,Jean Marie,1883-11-21,Toulouse,31,France,143e Infanterie,Soldat,06/10/1915,51,Massiges,France,Marne 
JEAN,Joseph,1889-10-27,Fonsorbes,31,France,81e Infanterie,Soldat,22/08/1914,54,Luneville,France,Meurthe-et-Moselle 
JEAN,Raymond,1897-09-27,Toulouse,31,France,109e Infanterie,Soldat,31/10/1918,8,Saint-Fergeux,France,Ardennes 
JEAN,René Louis,1895-03-08,Toulouse,31,France,10e Infanterie,Soldat,12/10/1918,2,Grougis,France,Aisne 
JEANJEAN,Alfred René Jean,1890-07-21,Tunis,,Tunisia,3e bis Zouaves,Sergent,17/04/1917,51,Pontfaverger-Moronvilliers,France,Marne 
JEAN-MARIE,Bertrand,1885-12-28,Toulouse,31,France,214e Infanterie,Caporal fourrier,09/09/1914,55,Ippécourt,France,Meuse 
JEAN-PIERRE,Louis Marcel Léon,1896-06-17,Toulouse,31,France,142e Infanterie,Soldat,17/05/1916,31,Toulouse,France,Haute-Garonne 
JELENSPERGER,Jules Albert,1865-04-11,Mulhouse,68,France,48e Artillerie Coloniale,Commandant,24/04/1916,55,Bouquemont,France,Meuse 
JOANY,Jean,1891-09-12,Toulouse,31,France,83e Infanterie,Soldat,27/08/1914,8,Thelonne,France,Ardennes 
JOBERT,Fernand Henri,1893-02-15,Oger,51,France,371e Infanterie,Brancardier,17/10/1918,,Pogradec,Albania,
JOFFRES,Paul Lucien,1889-06-18,Fougax-et-Barrineuf,9,France,93e Infanterie,Caporal fourrier,30/05/1918,2,Le-Plessiers-Huleu,France,Aisne 
JOINEAU,Émile Auguste,1896-06-14,Paris,75,France,168e Infanterie,Caporal,02/11/1916,55,Apremont-la-Forêt,France,Meuse 
JOLIBERT,Jean Louis,1893-07-23,Toulouse,31,France,2e Génie,Sapeur,15/04/1916,2,Berry-au Bac,France,Aisne 
JOLIBERT,Joseph,1888-11-19,Toulouse,31,France,296e Infanterie,Soldat,01/05/1917,51,Val-de-Vesle,France,Marne 
JOLIBERT,Auguste Irénée,1886-02-19,Toulouse,31,France,88e Infanterie,Soldat,09/05/1915,62,Roclincourt,France,Pas-de-Calais 
JOLIBERT,François,1893-11-14,Toulouse,31,France,146e Infanterie,Soldat,25/09/1915,51,Minaucourt-Le-Mesnil-les-Hurlus,France,Marne 
JOLIBERT,Jean Félix,1891-03-08,Toulouse,31,France,59e Infanterie,Soldat,14/10/1914,51,Wargemoulin-Hurlus,France,Marne 
JOLIVET,Louis Henri Sylvain,1892-06-26,Nice,6,France,3e Infanterie coloniale,Caporal,25/09/1915,51,Minaucourt-Le-Mesnil-les-Hurlus,France,Marne 
JOSEPH,Léon,1889-10-22,Vigoulet-Auzil,31,France,7e Infanterie,Tambour,22/08/1914,,Bertrix,Belgium,
JOSQUIN,Pierre Marius,1893-11-06,Toulouse,31,France,88e Infanterie,Soldat,18/05/1916,55,Avocourt,France,Meuse 
JOSSERAN,André,1888-05-12,Toulouse,31,France,81e Infanterie,Soldat,31/12/1916,55,Vauquois,France,Meuse 
JOUGLARD,Maurice Louis Eugène,1886-02-21,Die,26,France,57e Infanterie Coloniale,Sous-Lieutenant,10/09/1916,80,Chuignolles,France,Somme 
JOURDA,Pierre,1886-05-31,Dieupentale,82,France,207e Infanterie,Sergent,14/09/1914,51,Vitry-le-François,France,Marne 
JOURDY,Françoise Marius,1893-06-01,Toulouse,31,France,9e Zouaves,Soldat,19/06/1918,2,Saconin-et-Breuil,France,Aisne 
JOURET,Maximilien Pierre,1886-04-17,Toulouse,31,France,3e Mixte de Zouaves et de Tirailleurs,Caporal,09/09/1916,80,Maurepas-Leforest,France,Somme 
JOURNES,Jean Marie,1887-11-27,Toulouse,31,France,61e Bataillon de Chasseurs,Soldat,04/08/1915,62,Souchez,France,Pas-de-Calais 
JOUVE,Fernand Gustave,1878-12-13,Valenciennes,59,France,20e Infanterie,Caporal fourrier,16/02/1915,51,Souain-Perthes-les Hurlus,France,Marne 
JULIA,Jules Guiraud,1884-06-07,Toulouse,31,France,86e Artillerie lourde,Soldat,11/10/1918,55,Bar-le-Duc,France,Meuse 
JULIEN,Henri,1888-10-12,Toulouse,31,France,3e Bataillon de marche africain,Soldat,05/04/1918,80,Cantigny,France,Somme 
KELLER,Mathias Émile,1895-07-09,Seloncourt,25,France,416e Infanterie,Soldat,07/06/1917,55,Verdun,France,Meuse 
KINTZELE,Pierre Marius,1895-01-27,Paris,75,France,96e Infanterie,Aspirant,29/09/1915,51,Sommepy-Tahure,France,Marne 
KRUMEICH,Édouard Honoré,1890-05-27,Toulouse,31,France,15e Infanterie,Caporal,28/09/1914,54,Saint-Baussant,France,Meurthe-et-Moselle 
LABADENS,Clément Joseph,1874-12-11,Faget-Abbatial,32,France,356e Infanterie,Soldat,05/04/1915,54,Montauville,France,Meurthe-et-Moselle 
LABADIE,Antonin,1879-09-11,Rebigue,31,France,14e Infanterie,Soldat,01/11/1914,51,Souain-Perthes-les Hurlus,France,Marne 
LABAL,Jean Joseph,1889-08-22,Toulouse,31,France,7e Infanterie,Caporal,25/12/1914,51,Minaucourt-Le-Mesnil-les-Hurlus,France,Marne 
LABARRIERE,Charles Léon Cécilien Marie,1891-11-22,Tarbes,65,France,160e Infanterie,Soldat,01/12/1916,80,Sailly-Saillisel,France,Somme 
LABAT,Louis Eugène,1897-09-04,Toulouse,31,France,218e Artillerie,Soldat,23/10/1917,2,Ostel,France,Aisne 
LABAT,Émile Jean Maurice,1896-08-06,Paul,64,France,2e Infanterie coloniale,Soldat,14/07/1915,51,Servon-Melzicourt,France,Marne 
LABAT,Ursin Paul Joseph,1877-06-01,Figeac,46,France,Service des prisonniers de guerre de la 17e région,Caporal,16/10/1918,31,Toulouse,France,Haute-Garonne 
LABATTUT,Victor,1882-11-24,Rouffignac-Saint-Cernin-de-Reilhac,24,France,8e Génie,Sapeur,10/05/1917,55,Gondrecourt-le-Château,France,Meuse 
LABATUT,Jean Marius,1892-06-07,Toulouse,31,France,7e Infanterie,Caporal,22/08/1914,,Bertrix,Belgium,
LABATUT,Léopold,1893-09-01,Montblanc,32,France,24e Infanterie Coloniale,Soldat,04/02/1915,51,Minaucourt-Le-Mesnil-les-Hurlus,France,Marne 
LABATUT,François Raoul,1898-05-28,Toulouse,31,France,2e Infanterie,Soldat,30/05/1918,2,Jaulgonne,France,Aisne 
LABBE,Pierre,1885-11-15,Cassiers,9,France,259e Infanterie,Sergent,06/08/1915,55,Pierrefitte-sur-Aire,France,Meuse 
LABIT,Pierre François Barthélémy,1872-02-14,Saint-Rustic,31,France,23e Artillerie de campagne,Capitaine,08/09/1914,51,Saint-Ouen-Domprot,France,Marne 
LABORDE,Étienne Jean Charles,1895-03-24,Toulouse,31,France,53e Infanterie,Caporal,03/06/1916,55,Damloup,France,Meuse 
LABORDE,Louis Germain,1892-11-26,Toulouse,31,France,Section des télégraphistes coloniaux,Soldat,11/06/1918,,Hanoï,Viet-Nam,
LABORDE,François,1890-09-29,Noueilles,31,France,175e Infanterie,Sergent,17/09/1917,,Zëmblak,Albania,
LABORDE,Jean Marie,1885-10-17,Cugnaux,31,France,14e Infanterie,Caporal,26/03/1915,51,Souain-Perthes-les Hurlus,France,Marne 
LABORDE,Louis,1877-09-23,Toulouse,31,France,359e Infanterie,Soldat,05/09/1917,2,Vauxaillon,France,Aisne 
LABOUCHE,André Louis Jean,1896-07-04,Toulouse,31,France,267e Artillerie,Sous-Lieutenant,30/10/1918,8,Séchault,France,Ardennes 
LABOURDETTE,Fernand Pierre Eugène,1891-08-06,Pau,64,France,53e Artillerie de Campagne,Sous-Lieutenant,03/09/1916,80,Cayeux-sur-mer,France,Somme 
LABROUE,François,1895-12-23,Toulouse,31,France,53e Infanterie,Soldat,28/02/1915,66,Perpignan,France,Pyrénées-Orientales 
LABRUNIE,Joseph Adrien,1875-11-29,Toulouse,31,France,236e Infanterie,Soldat,17/10/1915,51,Sommepy-Tahure,France,Marne 
LAC,Jules,1897-05-30,Maz-d'Azil,9,France,4e Infanterie,1re Classe,01/06/1918,68,Guebwiller,France,Haut-Rhin 
LACABANNE,Jean Anselme,1896-09-11,Villeneuve-de-Marsan,40,France,363e Infanterie,Soldat,19/04/1917,51,Brimont,France,Marne 
LACANAL,Pierre,1884-02-12,Lherm,31,France,96e Infanterie,Soldat,14/03/1915,51,Minaucourt-Le-Mesnil-les-Hurlus,France,Marne 
LACANAL,Jules Jean,1890-03-31,Mazères,9,France,83e Infanterie,Sergent,27/08/1914,8,Haraucourt,France,Ardennes 
LACARRERE,Jean Julien,1890-01-27,Toulouse,31,France,53e Infanterie,Caporal,20/08/1914,57,Rorbach-lès-Dieuze,France,Moselle 
LACASSAGNE,Antoine Pierre Émile,1893-06-14,Castelsarrazin,82,France,273e Infanterie,Soldat,15/09/1914,51,Reims,France,Marne 
LACAZE,Jean Marie,1879-01-05,Toulouse,31,France,Infanterie Coloniale du Morocco,Caporal,08/06/1917,2,Cerny-en-Laonnois,France,Aisne 
LACAZE,Frédéric Henri,1892-04-02,Toulouse,31,France,7e Infanterie,Soldat,27/08/1914,,Bertrix,Belgium,
LACHEZE,Antoine,1896-11-20,Toulouse,31,France,104e Infanterie,Soldat,28/06/1918,51,Cuperly,France,Marne 
LACHURIE,Germain Michel,1881-10-09,Lauzerville,31,France,281e Infanterie,Soldat,04/01/1916,62,Ivergny,France,Pas-de-Calais 
LACHURIE,Pierre,1887-02-23,Labarthe-sur-Lèze,31,France,14e Infanterie,Soldat,18/04/1918,80,Berteaucourt-lès-Thennes,France,Somme 
LACOMBE,Pierre Léopold,1887-04-20,Sainte-Livrade,82,France,2e Groupe Aviation,Sergent,15/07/1916,60,Chantilly,France,Oise 
LACOMBE,Antoine Jean,1893-03-19,Toulouse,31,France,14e Infanterie,Soldat,22/08/1914,,Anloy,Belgium,
LACOMBE,Jean,1883-03-26,Toulouse,31,France,81e Infanterie,Soldat,30/08/1914,54,Gerbérviller,France,Meurthe-et-Moselle 
LACOMBE,Louis Justin Baptiste,1890-05-31,Toulouse,31,France,57e Artillerie,2e Canonnier servant,26/09/1914,51,Wargemoulin-Hurlus,France,Marne 
LACOSTE,Jean Urbain,1883-03-14,Lacave,46,France,220e Infanterie,Soldat,19/10/1914,55,Vaux-lès-Palameix,France,Meuse 
LACOSTE,Antoine Guillaume,1895-06-02,Castenau-d'estredefonds,31,France,53e Infanterie,Soldat,25/09/1915,51,Aubérive,France,Marne 
LACOSTE,Marius Jean,1892-08-23,Toulouse,31,France,9e Marche de Zouave,Soldat,26/04/1915,,Ypres,Belgium,
LACROIX,Ernest Pierre,1882-11-07,Toulouse,31,France,24e Infanterie Coloniale,Sergent,04/07/1916,80,Dompierre-Becquincourt,France,Somme 
LACROIX,Jean Paul,1894-11-20,Toulouse,31,France,96e Infanterie,Caporal fourrier,01/11/1915,51,Sommepy-Tahure,France,Marne 
LACROIX,Jean,1889-07-01,Escalquens,31,France,24e Infanterie Coloniale,Soldat,27/08/1914,55,Pouilly-sur-Meuse,France,Meuse 
LACROIX,Louis,1894-08-19,Toulouse,31,France,18e Infanterie de campagne,2e Canonnier,25/05/1915,62,Anzin-Saint-Aubin,France,Pas-de-Calais 
LACROIX,Jean,1887-08-24,Balma,31,France,96e Infanterie,Soldat,10/10/1914,54,Toul,France,Meurthe-et-Moselle 
LACROIX,Marceau,1892-06-20,Toulouse,31,France,15e Infanterie,Soldat,23/02/1917,55,Ville-sur-Cousances,France,Meuse 
LACROIX,Baptiste,1882-11-11,Toulouse,31,France,335e Infanterie,Soldat,25/04/1919,31,Toulouse,France,Haute-Garonne 
LADEVEZE,Bertrand Jean Marie,1888-04-18,Gourdan-Poligan,31,France,11e Infanterie,Caporal,16/02/1915,51,Minaucourt-Le-Mesnil-les-Hurlus,France,Marne 
LADURANTIE,Lazare Constantin,1886-09-21,Marseille,13,France,141e Infanterie,Caporal,20/03/1916,55,Malancourt,France,Meuse 
LAFAGE,André Adrien Artémis,1890-09-10,Toulouse,31,France,57e Infanterie,Soldat,18/11/1914,23,Guéret,France,Creuse 
LAFARIE,Jean,1878-04-01,Léon,40,France,14e Infanterie,Sous-Lieutenant,17/02/1915,51,Souain-Perthes-les Hurlus,France,Marne 
LAFERRIERE,Ernest Antoine,1880-10-13,Toulouse,31,France,16e Section d'infirmiers militaires,1re Classe,10/02/1918,2,Vauxaillon,France,Aisne 
LAFEUILLADE,Albert Jérôme Michel,1892-03-09,Saint-Gaudens,31,France,7e Infanterie,Soldat,23/12/1914,51,Minaucourt-Le-Mesnil-les-Hurlus,France,Marne 
LAFFARGUE,Joseph Louis,1892-03-14,Villeneuve,12,France,85e Artillerie lourde,Soldat,17/10/1915,31,Toulouse,France,Haute-Garonne 
LAFFAURIE,Pierre Charles,1892-11-17,Toulouse,31,France,83e Infanterie,Soldat,28/08/1914,8,Angecourt,France,Ardennes 
LAFFITTE,Louis,1895-03-11,Toulouse,31,France,153e Infanterie,Caporal,22/01/1916,31,Toulouse,France,Haute-Garonne 
LAFFITTE,Pierre,1877-02-18,Castelginest,31,France,8e Escadron du Train des équipages militaires,Soldat,08/10/1917,51,Châlons-en-Champagne,France,Marne 
LAFFITTE,Albert,1892-02-07,Lézignan,11,France,7e Infanterie,Soldat,09/05/1915,62,Roclincourt,France,Pas-de-Calais 
LAFFITTE,Maurice Antoine,1895-08-11,Toulouse,31,France,2e Zouaves,Soldat,18/06/1915,60,Moulin-sous-Touvent,France,Oise 
LAFFITTE,Jean Pierre,1892-09-19,Pau,64,France,41e Infanterie,Soldat,29/05/1918,2,Vierzy,France,Aisne 
LAFFON,Jean Gabriel Raymond,1894-12-20,Toulouse,31,France,142e Infanterie,Soldat,01/02/1915,,Saint-Éloi,Belgium,
LAFFONT,Jean,1888-08-04,Castagnac,31,France,168e Infanterie,Sergent,09/09/1918,2,Crouy,France,Aisne 
LAFFONT,Jean Basile,1891-12-15,Sainte-Foy-de-Peyrolières,31,France,15e Infanterie,Soldat,20/08/1914,57,Belles-Forêts,France,Moselle 
LAFFONT,Joseph François,1886-07-04,Soulan,9,France,44e Infanterie Coloniale,Soldat,24/08/1914,55,Buzy-Darmont,France,Meuse 
LAFFONT,Hippolyte,1881-04-30,Marignac-Lasclares,31,France,285e Infanterie,Soldat,24/08/1914,55,Éton,France,Meuse 
LAFFONT,Jean,1895-12-30,Merville,31,France,88e Infanterie,Soldat,29/08/1914,54,Haraucourt,France,Meurthe-et-Moselle 
LAFFONT,Léon,1884-03-20,Toulouse,31,France,97e Infanterie,Soldat,24/07/1918,51,Mareuil-le-Port,France,Marne 
LAFFONT,Édouard Léon,1892-05-04,Castres,81,France,9e Infanterie,Soldat,29/01/1917,82,Montauban,France,Tarn-et-Garonne 
LAFFONT,Marius,1881-06-21,Toulouse,31,France,14e Infanterie,Soldat,17/01/1915,51,Souain-Perthes-les Hurlus,France,Marne 
LAFFONT,Alfred,1890-10-04,Carla-Bayle,9,France,14e Infanterie,Soldat,15/09/1914,51,Vitry-le-François,France,Marne 
LAFFONT,Germain,1883-05-23,Pechbusque,31,France,18e Artillerie de campagne,2e Canonnier servant,16/08/1916,18,Vierzon,France,Cher 
LAFFONT,Marcel,1897-01-18,Toulouse,31,France,8e Infanterie,Soldat,15/02/1917,51,Minaucourt-Le-Mesnil-les-Hurlus,France,Marne 
LAFFONT,Marius René Auguste,1895-10-12,Toulouse,31,France,8e Marche de Tirailleurs,Aspirant,19/09/1917,2,Chassemy,France,Aisne 
LAFFORGUE,Jean Marie Gabriel,1887-01-27,Anan,31,France,96e Infanterie,Soldat,25/10/1914,,Langemark-Poelkapelle,Belgium,
LAFFORGUE,Louis Jean,1885-05-02,Puymaurin,31,France,81e Infanterie,Caporal,04/10/1915,51,Saint-Remy-sur- Bussy,France,Marne 
LAFFORGUE,Cyrille,1882-05-05,Garravet,32,France,14e Infanterie,Soldat,17/06/1915,62,Arras,France,Pas-de-Calais 
LAFFORGUE,Philippe Pascal Georges,1893-04-03,Toulouse,31,France,95e Infanterie,Soldat,28/09/1915,51,Sommepy-Tahure,France,Marne 
LAFFORGUE,Pierre,1889-11-05,Toulouse,31,France,7e Infanterie,Caporal,07/03/1915,51,Souain-Perthes-les Hurlus,France,Marne 
LAFITE,René Bertrand,1895-01-30,Toulouse,31,France,143e Infanterie,Caporal,16/08/1916,55,Vaux-devant-Damloup,France,Meuse 
LAFITTE,Paul Eugène Emmanuel,1890-12-26,Boucau,64,France,14e Infanterie,Soldat,17/09/1914,51,Courdemanges,France,Marne 
LAFITTE,Sylvain,1894-01-18,Toulouse,31,France,155e Infanterie,Soldat,02/05/1915,62,Neuville-Saint-Vaast,France,Pas-de-Calais 
LAFITTE,Louis Raoul André,1894-11-15,Toulouse,31,France,96e Infanterie,Soldat,07/03/1915,51,Minaucourt-Le-Mesnil-les-Hurlus,France,Marne 
LAFON,Bernard,1883-02-03,Toulouse,31,France,96e Infanterie,Soldat,03/10/1914,54,Bernécourt,France,Meurthe-et-Moselle 
LAFON,Philippe Théodore,1895-01-22,Alban,81,France,88e Infanterie,Soldat,08/09/1914,51,Humbauville,France,Marne 
LAFON,Bernard,1895-10-15,Toulouse,31,France,53e Infanterie,Soldat,31/03/1917,55,Les Éparges,France,Meuse 
LAFON,Jacques Albert,1876-12-27,Verdun-sur-Garonne,82,France,283e Infanterie,Caporal,02/02/1915,55,Lacroix-sur-Meuse,France,Meuse 
LAFON,Jules Xavier Jean,1891-03-06,Brive,19,France,43e Infanterie,Soldat,25/08/1914,54,Rozelieures,France,Meurthe-et-Moselle 
LAFOND,Jean,1890-04-21,Toulouse,31,France,23e Artillerie,Soldat,29/04/1918,,Ypres,Belgium,
LAFONT,Adolphe Élie,1896-06-10,Toulouse,31,France,67e Chasseurs Alpins,Soldat,13/09/1918,2,Vauxaillon,France,Aisne 
LAFONT,Jean Baptiste,1885-08-03,Toulouse,31,France,25e Artillerie de campagne,Soldat,02/01/1915,31,Toulouse,France,Haute-Garonne 
LAFONT,Paul Jean,1885-04-17,Merville,31,France,14e Infanterie,Soldat,08/01/1915,51,Souain-Perthes-les Hurlus,France,Marne 
LAFORCADE,Jean,1888-08-10,Agen,47,France,14e Infanterie,Soldat,22/08/1914,,Anloy,Belgium,
LAFORGUE,Achille Jean Marie,1891-05-17,Gourdon,46,France,15e Infanterie,Sergent fourrier,07/11/1914,,Heuvelland,Belgium,
LAFORGUE,Jean François,1895-09-05,Toulouse,31,France,143e Infanterie,Soldat,31/10/1915,51,Sommepy-Tahure,France,Marne 
LAFORGUE,Jacques Alexandre,1892-11-24,Toulouse,31,France,25e Artillerie,2e Canonnier servant,29/06/1917,51,Val-de-Vesle,France,Marne 
LAFORGUE,Léopold Gaston Alfred,1893-10-29,Toulouse,31,France,224e Infanterie,Soldat,23/09/1918,2,Blanzy-les-Fismes,France,Aisne 
LAFORGUE,Jean Baptiste,1892-08-08,Toulouse,31,France,220e Infanterie,Soldat,30/06/1916,51,Bétheny,France,Marne 
LAFOSSE,Bertrand Alexandre,1883-10-21,Toulouse,31,France,44e Infanterie Coloniale,Caporal,01/09/1914,55,Beaumont-en-Verdunois,France,Meuse 
LAGARDE,Casimir Bernard,1882-08-17,Montréjeau,31,France,28e Tirailleurs Senegalais,Sergent,20/07/1916,80,Barleux,France,Somme 
LAGARDE,Étienne,1894-05-04,Toulouse,31,France,14e Infanterie,Soldat,17/02/1915,51,Souain-Perthes-les Hurlus,France,Marne 
LAGARDE,Barthélémy,1891-03-02,Toulouse,31,France,44e Infanterie,Soldat,04/12/1915,94,Saint-Mandé,France,Val-de-Marne 
LAGARDE,Paul,1894-03-11,Merens,9,France,160e Infanterie,Soldat,28/02/1916,55,Verdun,France,Meuse 
LAGARDELLE,Édouard,1890-12-21,Toulouse,31,France,132e Infanterie,Caporal fourrier,06/12/1918,80,Hattencourt,France,Somme 
LAGARDELLE,Jean Émile Fernand,1884-01-09,Toulouse,31,France,372e Infanterie,Sergent,21/10/1918,,Korçë,Albania,
LAGARRIGUES,Paul Édouard,1894-10-31,Toulouse,31,France,417e Infanterie,Sergent,24/11/1915,60,Saint-Pierre-les-Bitry,France,Oise 
LAGASSE,Louis,1882-11-19,Toulouse,31,France,81e Infanterie,Soldat,30/11/1914,,Ypres,Belgium,
LAGONDE (de),Marie René Louis Alexandre,1882-06-09,Fréchou,47,France,14e Infanterie,Lieutenant,30/04/1917,51,Pontfaverger-Moronvilliers,France,Marne 
LAGRANGE,Joseph Guillaume,1897-09-17,Toulouse,31,France,41e Artillerie,Brigadier,06/08/1917,,Ypres,Belgium,
LAGRANGE,Paul Célestin Joseph,1885-07-20,Toulouse,31,France,176e Infanterie,Soldat,11/09/1918,,Florina,Greece,
LAGRAVELLE,Paul,1895-03-27,Montréjeau,31,France,11e Infanterie,Capitaine fourrier,22/08/1914,,Bertrix,Belgium,
LAGRAVERE,Émile Marius,1890-09-03,Toulouse,31,France,310e Infanterie,Sous-Lieutenant,22/02/1916,55,Wavrille,France,Meuse 
LAGRIFFOUL,Alexandre,1890-06-08,Toulouse,31,France,44e Infanterie,Soldat,22/02/1915,52,Saint-Dizier,France,Haute-Marne 
LAGUERRE,Georges,1894-06-17,Toulouse,31,France,11e Infanterie,Sergent,04/08/1916,55,Fleury-devant-Douaumont,France,Meuse 
LAGUERRE,Étienne François Basile,1876-03-22,Tarascon-sur-Ariège,9,France,8e Infanterie coloniale,Capitaine,28/12/1914,8,Séchault,France,Ardennes 
LAHARPE (de),Adrien Guy Marc,1892-08-19,Villefranche-de-Rouergue,12,France,80e Infanterie,Sergent,30/10/1915,51,Sommepy-Tahure,France,Marne 
LAHARPE (de),Edmond Paul Guy,1890-02-03,Mostaganem,,Algeria,97e Infanterie,Soldat,17/01/1917,31,Toulouse,France,Haute-Garonne 
LAHILLE,Maurice Pierre Jacques,1895-08-29,Toulouse,31,France,313e Infanterie,Capitaine,01/11/1916,55,Douaumont,France,Meuse 
LAHILLE,Henri Jean Georges Nicolas,1892-11-04,Montastruc-la-Conseillère,31,France,57e Infanterie,Maréchal des Logis,27/08/1914,8,Carignan,France,Ardennes 
LAHOURCADE,Émile Jean Baptiste,1894-05-10,Toulouse,31,France,53e Infanterie,Soldat,31/05/1915,51,Somme-Suippe,France,Marne 
LAIRLE,François Bertrand,1868-08-09,Koléa,,Algeria,84e Infanterie Coloniale,Chef de Bataillon,09/01/1917,,Monastir,Serbia,
LAJEUNIE,Ernest Jean,1888-05-02,Decazeville,12,France,53e Infanterie,Soldat,20/08/1914,57,Rorbach-lès-Dieuze,France,Moselle 
LAJOUS,Jean Paul Marie Joseph Charles,1885-08-23,Gironde-sur-Dropt,33,France,22e Infanterie coloniale,Sergent,06/09/1914,51,Norrois,France,Marne 
LAJOUX,Aimé Jérôme,1895-05-03,Toulouse,31,France,416e Infanterie,Soldat,31/05/1915,80,Frise,France,Somme 
LALA,Joseph Victor,1888-09-12,Toulouse,31,France,11e Infanterie,Sergent,22/08/1914,,Bertrix,Belgium,
LALA,Louis Pierre,1887-05-10,Toulouse,31,France,259e Infanterie,Soldat,06/09/1914,55,Osches,France,Meuse 
LALAMER,Félix,1887-04-02,Villeneuve-sur-Lot,47,France,209e Infanterie,Sergent,05/06/1915,62,Arras,France,Pas-de-Calais 
LALANNE,René Victor,1884-09-26,Maison-Alfort,75,France,24e Infanterie Coloniale,Soldat,29/07/1918,51,Vrigny,France,Marne 
LALLEMENT,Jules Aimé,1888-05-03,Moiry,58,France,59e Chasseurs,Soldat,11/08/1916,80,Villers-Bretonneux,France,Somme 
LALUBIE,Jean Jacques Bonaventure,1895-07-14,Montauban,82,France,8e Infanterie coloniale,Soldat,04/04/1918,80,Moreuil,France,Somme 
LAMARQUE,Étienne Julien,1894-12-20,Toulouse,31,France,80e Infanterie,Soldat,30/09/1915,51,Massiges,France,Marne 
LAMBERT,Jacques Marcel,1877-10-28,Montpellier,34,France,1er Génie,Lieutenant,01/01/1915,55,Clermont-en-Argonne,France,Meuse 
LAMBIC,Joseph,1885-09-27,Toulouse,31,France,80e Infanterie,Soldat,30/04/1915,51,Souain-Perthes-les Hurlus,France,Marne 
LAMBIC,Louis,1880-06-25,Toulouse,31,France,211e Infanterie,Adjudant,16/02/1915,51,Minaucourt-Le-Mesnil-les-Hurlus,France,Marne 
LAMBLIN,Honoré Simonin,1889-09-02,Pamiers,9,France,14e Infanterie,Soldat,15/05/1915,62,Souchez,France,Pas-de-Calais 
LAMIC,Joseph Félix Maurice,1880-04-09,Bordeaux,33,France,7e Infanterie Coloniale du Morocco,Sergent major,17/10/1914,8,Signy-l'Abbaye,France,Ardennes 
LAMIC,Paul,1888-04-20,Toulouse,31,France,366e Infanterie,1re Classe,18/10/1918,,Meulebeke,Belgium,
LAMOIZELLE,Pierre,1885-08-27,Toulouse,31,France,1er Génie,Sergent,04/09/1916,80,Lihons,France,Somme 
LAMOTHE,Raymond Antoine,1883-01-23,Bragayrac,31,France,80e Infanterie,Soldat,06/10/1915,51,Massiges,France,Marne 
